organization,linkedin,position,startDate,endDate,status,person_id
JP Consulting GmbH,,CEO and Owner,2013-02,2018-12,INACTIVE,144
Vodafone Group,https://www.linkedin.com/company/vodafone,Director Product Development,2007-04,2013-02,INACTIVE,144
Vodafone Group,https://www.linkedin.com/company/vodafone,Director of Global Demand & Integration,2005-01,2007-03,INACTIVE,144
Vodafone Group,https://www.linkedin.com/company/vodafone,Director of Product Marketing,2002-08,2004-12,INACTIVE,144
Vodafone Group,https://www.linkedin.com/company/vodafone,Director Operations,2000-03,2002-08,INACTIVE,144
Philips Benelux,https://www.linkedin.com/company/philips,General Manager BU PolyLED,1998-08,2000-03,INACTIVE,144
Philips Benelux,https://www.linkedin.com/company/philips,Progression to General Manager Philips Components,1992-04,1998-07,INACTIVE,144
Copenhagen Color,,Managing Director,2020-07,,ACTIVE,145
LarsenVFX,,Creative director,2008-02,2015-01,INACTIVE,145
Koop Bronbemaling B.V.,https://www.linkedin.com/company/koop-bronbemaling,Construction site leader,2011-04,,ACTIVE,146
GEJO dpo BVBA,,Director,2000-01,2011-04,INACTIVE,146
GEJO dpo BVBA,,Director,2000-01,2011-04,INACTIVE,146
"Center for Earth System Research and Sustainability, University of Hamburg",,Data Manager,2010-06,,ACTIVE,147
"Institute of Oceanography, University of Hamburg",,Research Staff Member,2001-04,2010-05,INACTIVE,147
"Institute of Environmental Physics and Electical Engineering, University of Bremen",,Research Assistant,1998-01,2001-03,INACTIVE,147
American Express,https://www.linkedin.com/company/american-express,Vice President - Supplier Enablement CoE,2024-07,,ACTIVE,148
American Express,https://www.linkedin.com/company/american-express,Vice President - US Commercial Pricing,2021-11,,ACTIVE,148
American Express,https://www.linkedin.com/company/american-express,Director - US Commercial Pricing Strategy,2018-09,2021-10,INACTIVE,148
American Express,https://www.linkedin.com/company/american-express,Pricing Strategy Manager - Global Corporate Payments,2015-09,2018-08,INACTIVE,148
American Express,https://www.linkedin.com/company/american-express,"Senior Financial Analyst, Global Corporate Payments",2014-06,2015-08,INACTIVE,148
American Express,https://www.linkedin.com/company/american-express,Senior Financial Analyst - Decision Support & Analytics,2012-08,2014-06,INACTIVE,148
American Express,https://www.linkedin.com/company/american-express,Intern - Financial Analyst,2010-06,2011-07,INACTIVE,148
Stiftung Liebenau,https://www.linkedin.com/company/stiftung-liebenau,Heimleiterin,1998-10,,ACTIVE,149
Level 20,https://www.linkedin.com/company/level20,Chief Executive Officer,2023-04,,ACTIVE,150
UK Business Angels Association,https://www.linkedin.com/company/ukbaa,Board Member,2022-01,,ACTIVE,150
Fund Her North,https://www.linkedin.com/company/fund-her-north,Advisory Board Member,2021-05,2023-07,INACTIVE,150
British Private Equity & Venture Capital Association (BVCA),https://www.linkedin.com/company/bvca,Deputy Director General and Director of Policy,2018-04,2023-03,INACTIVE,150
British Private Equity & Venture Capital Association (BVCA),https://www.linkedin.com/company/bvca,Assistant Director General and Director of Policy,2017-04,2018-03,INACTIVE,150
British Private Equity & Venture Capital Association (BVCA),https://www.linkedin.com/company/bvca,"Director, Policy",2016-07,2017-03,INACTIVE,150
British Private Equity & Venture Capital Association (BVCA),https://www.linkedin.com/company/bvca,Director of Technical and Regulatory Affairs,2013-09,2016-06,INACTIVE,150
Diversity UK,https://www.linkedin.com/company/diversity-uk,Trustee,2021-02,2023-02,INACTIVE,150
Deloitte UK,https://www.linkedin.com/company/deloitte,Senior Manager,2002-10,2013-08,INACTIVE,150
A4 Agentur AG,https://www.linkedin.com/company/a4-agentur,Inhaber und Geschäftsführer,1992,,ACTIVE,151
MHP – A Porsche Company,https://www.linkedin.com/company/mhp-a-porsche-company,Senior Manager,2023-07,,ACTIVE,152
MHP – A Porsche Company,https://www.linkedin.com/company/mhp-a-porsche-company,Manager,2021-07,2023-06,INACTIVE,152
MHP – A Porsche Company,https://www.linkedin.com/company/mhp-a-porsche-company,Senior Consultant,2020-01,2021-06,INACTIVE,152
MHP – A Porsche Company,https://www.linkedin.com/company/mhp-a-porsche-company,Consultant,2016-09,2019-12,INACTIVE,152
BMW Group,https://www.linkedin.com/company/bmw-group,Master Thesis Student,2015-11,2016-05,INACTIVE,152
Vendome Group,https://www.linkedin.com/company/vendome-group,IT Manager,2013-08,2014-07,INACTIVE,152
GEA Group,https://www.linkedin.com/company/geagroup,Working Student,2009-11,2013-01,INACTIVE,152
Knauf,https://www.linkedin.com/company/knauf,Working Student,2008-06,2008-08,INACTIVE,152
Independence Seaport Museum,https://www.linkedin.com/company/independence-seaport-museum,Director of Education,2023-07,,ACTIVE,153
American Philosophical Society,https://www.linkedin.com/company/american-philosophical-society,Head of Education Programs,2019-10,2023-07,INACTIVE,153
American Philosophical Society,https://www.linkedin.com/company/american-philosophical-society,Museum Programs Manager,2016-04,2019-10,INACTIVE,153
American Philosophical Society,https://www.linkedin.com/company/american-philosophical-society,Museum Programs Assistant,2015-08,2016-04,INACTIVE,153
The University of the Arts,,Senior Lecturer,2019-01,2019-05,INACTIVE,153
Smithsonian Institution,https://www.linkedin.com/company/smithsonian-institution,Summer Camp Instructor,2015-08,2015-08,INACTIVE,153
Ford's Theatre Society,https://www.linkedin.com/company/ford's-theatre-society,Education Fellow,2015-01,2015-07,INACTIVE,153
Museum Hack,https://www.linkedin.com/company/museum-hack,Content Consultant,2015-01,2015-07,INACTIVE,153
Bridge Extended Day Program,,Aftercare Program Teacher,2014-09,2014-12,INACTIVE,153
School within School at Goding Elementary,,"Museum Resource Specialist, Kindergarten Assistant",2014-08,2014-12,INACTIVE,153
Temple University,,Research Assistant,2011-08,2014-06,INACTIVE,153
Temple University,,"Peer Instructor, Honors First Year Seminar",2012,2013,INACTIVE,153
Philadelphia Zoo,https://www.linkedin.com/company/philadelphia-zoo,Conservation Educator,2013-11,2014-05,INACTIVE,153
Philadelphia Zoo,https://www.linkedin.com/company/philadelphia-zoo,Public Programs Intern,2013-08,2013-10,INACTIVE,153
Philadelphia Zoo,https://www.linkedin.com/company/philadelphia-zoo,Environmental Education and Animal Behavior Intern,2013-05,2013-08,INACTIVE,153
Baeza Jakob Hermanos Ltda,,Gerente Comercial,2019-01,,ACTIVE,154
JYR autos,,Gerente Comercial,2016-01,2018-12,INACTIVE,154
Boston Consulting Group (BCG),https://www.linkedin.com/company/boston-consulting-group,Operations Director München,1991-01,2020-01,INACTIVE,155
Vogel Verlag,,Kfm. Verwaltungsleiter,1985-07,1990-12,INACTIVE,155
Burda Verlag,,Assistent Redaktionsverwaltung,1982-01,1985-06,INACTIVE,155
Arthur Young,,Praktikant,1981-06,1981-08,INACTIVE,155
Global Arts,,Designer,2014-01,,ACTIVE,156
Global Arts,,Art Dealer,2014-01,,ACTIVE,156
Global Arts +ai,,Artificial Intelligence Pioneer,2000-01,,ACTIVE,156
"Apex Tool Group, LLC",https://www.linkedin.com/company/apex-tool-group-llc,Gerente de RR.HH Mexico,2024-02,,ACTIVE,157
"Apex Tool Group, LLC",https://www.linkedin.com/company/apex-tool-group-llc,HR People Operations Comp&Ben Lead,2022-08,2024-03,INACTIVE,157
Yanfeng Automotive Interiors,https://www.linkedin.com/company/yanfeng-global,"Employee Relations, Comp & Benefits",2019-02,2022-08,INACTIVE,157
Tecnológico de Monterrey,,BP Talento y Cultura,2016-09,2019-02,INACTIVE,157
La Delizia,,General Manager,2015-05,2016-09,INACTIVE,157
Sanofi Pasteur,https://www.linkedin.com/company/sanofi,HR Head (Generalist),2014-09,2015-09,INACTIVE,157
Sanofi Pasteur,https://www.linkedin.com/company/sanofi,HR Head (Generalist),2013-02,2014-09,INACTIVE,157
Reckitt Benckiser,https://www.linkedin.com/company/reckitt,Supervisor de Recursos Humanos,2010-06,2013-02,INACTIVE,157
Reckitt Benckiser,https://www.linkedin.com/company/reckitt,Coordinador de Recursos Humanos Supply,2010-01,2011-12,INACTIVE,157
Sky Television,https://www.linkedin.com/company/skynz,Especialista Desarrollo Organizacional,2007-04,2010-06,INACTIVE,157
RB&W Manufacturing,https://www.linkedin.com/company/rb&w-manufacturing,Business Development & Key Account Manager,2021-01,,ACTIVE,158
Arnold Umformtechnik GmbH & Co. KG,https://www.linkedin.com/company/arnold-umformtechnik-gmbh-&-co-kg,Global Key Account Manager,2019-01,2020-12,INACTIVE,158
FONTANA GRUPPO,https://www.linkedin.com/company/fontana-gruppo,Key Account Manager,2010-01,2018-12,INACTIVE,158
Acument Global Technolgies,,Sales Engineer,2005-01,2009-12,INACTIVE,158
Textron Fastening Systems,https://www.linkedin.com/company/textron-fastening-systems,Leiter Endkontrolle und Fertigungssteuerung Endkontrolle/Endfertigung,1996-01,2004-12,INACTIVE,158
Land SH,,Lehrerin,,,UNKNOWN,159
CGI MAGIC MOVIE CORPORATION,https://www.linkedin.com/company/cgi-magic-movie-corporation,CEO,2000-04,,ACTIVE,160
Digital Realty,https://www.linkedin.com/company/digitalrealty,Quality Coordinator,2022-12,,ACTIVE,161
ALDRA,https://www.linkedin.com/company/aldra,Betriebsratsvorsitzender,,,UNKNOWN,162
Söderberg & Partners Danmark,https://www.linkedin.com/company/söderberg-and-partners-danmark,"Pensionskundechef / Account Executive - Global Employee Benefits, Corporate Pension",2023-08,,ACTIVE,163
Söderberg & Partners Danmark,https://www.linkedin.com/company/söderberg-and-partners-danmark,Account Executive,2023-01,2023-08,INACTIVE,163
Danica Pension,https://www.linkedin.com/company/danica,Customer supporter - Life & Pension,2020-09,2021-09,INACTIVE,163
Velliv,https://www.linkedin.com/company/velliv,Student Assistant,2020-01,2020-08,INACTIVE,163
Velliv,https://www.linkedin.com/company/velliv,Bachelor of Financial Management and Services - Internship,2019-08,2020-01,INACTIVE,163
Nykredit,https://www.linkedin.com/company/nykredit,AML Analyst,2019-01,2019-08,INACTIVE,163
Nykredit,https://www.linkedin.com/company/nykredit,Sales Consultant,2017-09,2019-01,INACTIVE,163
European Investment Bank (EIB),https://www.linkedin.com/company/european-investment-bank,Principal Advisor,2024-01,,ACTIVE,164
European Investment Bank (EIB),https://www.linkedin.com/company/european-investment-bank,Senior Economist,2020-01,2023-12,INACTIVE,164
European Investment Bank (EIB),https://www.linkedin.com/company/european-investment-bank,Economist,2013-06,2019-12,INACTIVE,164
Columbia University,,Visiting Scholar,2023-03,2023-04,INACTIVE,164
Università degli Studi di Padova,,Antonveneta Research Fellow,2010-10,2013-05,INACTIVE,164
New York University,,Teaching Assistant,2009-09,2009-12,INACTIVE,164
European University Institute,,Research Assistant,2009-08,2009-12,INACTIVE,164
Robert Schuman Centre for Advanced Studies,,Researcher and Country Expert,2009-02,2009-05,INACTIVE,164
EFTA,https://www.linkedin.com/company/efta,Trainee,2006-03,2006-07,INACTIVE,164
State of Geneve,https://www.linkedin.com/company/travailler-a-etat-de-geneve,Assistant Economist,2004-08,2004-09,INACTIVE,164
State of Geneve,https://www.linkedin.com/company/travailler-a-etat-de-geneve,Assistant Economist,2003-08,2003-09,INACTIVE,164
Hopitaux Universitaires de Genève,https://www.linkedin.com/company/hopitaux-universitaires-de-geneve,Intern,2002-08,2002-09,INACTIVE,164
Pictet Group,https://www.linkedin.com/company/the-pictet-group,Trainee,2000-08,2000-09,INACTIVE,164
PwC,https://www.linkedin.com/company/pwc,Senior Manager,2023-09,,ACTIVE,165
PwC,https://www.linkedin.com/company/pwc,Manager,2021-05,,ACTIVE,165
EY,https://www.linkedin.com/company/ernstandyoung,Manager,2021-02,2021-05,INACTIVE,165
EY,https://www.linkedin.com/company/ernstandyoung,Senior Consultant,2018-06,2021-02,INACTIVE,165
FOG Kurumsal Hizmetler A.Ş.,https://www.linkedin.com/company/fogkurumsal,Senior Management Consultant,2017-04,2018-06,INACTIVE,165
Duyar Vana Mak. San. ve Tic. A.Ş.,https://www.linkedin.com/company/duyarvana,Strategic Management Specialist,2015-03,2017-04,INACTIVE,165
Mercedes-Benz Türk A.Ş.,https://www.linkedin.com/company/mercedesbenzturk,Quality Assurance Suppliers (Intern),2012-06,2012-07,INACTIVE,165
Santa Farma Pharmaceuticals,https://www.linkedin.com/company/santa-farma-pharmaceuticals,Human Resources (Intern),2011-06,2011-07,INACTIVE,165
South West Vision GmbH,https://www.linkedin.com/company/south-west-vision-gmbh,Geschäftsführender Gesellschafter,2023-07,,ACTIVE,166
KooVoo GmbH,,Founder & CEO Investments,2023-01,,ACTIVE,166
Purax GmbH,,Geschäftsführer,2022-09,,ACTIVE,166
Victualien Handels GmbH,,Geschäftsführender Gesellschafter,2005-01,,ACTIVE,166
Konzept45 GmbH,,Geschäftsführender Gesellschafter,2016-09,2025-02,INACTIVE,166
Get Closer Racing GmbH,,Geschäftsführender Gesellschafter,2021-01,2022-06,INACTIVE,166
Blipstream,https://www.linkedin.com/company/blipstream,Gesellschafterin,2021-08,2022-05,INACTIVE,166
Extrawurst GmbH,,Geschäftsführender Gesellschafter,2018-07,2022-01,INACTIVE,166
Heinz Wurst Catering,,Inhaber,2013-08,2017-04,INACTIVE,166
Delrin,https://www.linkedin.com/company/delrin-acetal-homopolymer,Sales Director EMEA,2024-07,,ACTIVE,167
Trinseo,https://www.linkedin.com/company/trinseo,Global Segment Director Mobility,2023-01,2024-06,INACTIVE,167
Trinseo,https://www.linkedin.com/company/trinseo,Manager Business Development Europe,2021-01,2022-12,INACTIVE,167
Trinseo,https://www.linkedin.com/company/trinseo,Global Marketing Manager Automotive,2018-09,2022-12,INACTIVE,167
IAC Group,https://www.linkedin.com/company/iac-group,Manager Advanced Material & Process Group Europe,2017-06,2018-08,INACTIVE,167
IAC Group,https://www.linkedin.com/company/iac-group,Material Engineering (Deputy Manager),2013-03,2017-05,INACTIVE,167
IAC Group,https://www.linkedin.com/company/iac-group,Material Engineering,2009-03,2013-02,INACTIVE,167
ZF Lenksysteme GmbH,https://www.linkedin.com/company/zf-steering,Process Engineering (Teamleader),2007,2009,INACTIVE,167
Dynamit Nobel Kunststofftechnik / Plastal (now Plastic Omnium Automotive Exteriors),,Advanced Engineering,2005,2007,INACTIVE,167
ALTTURBO GmbH,https://www.linkedin.com/company/altturbo-gmbh,Geschäftsführender Gesellschafter,2021-10,,ACTIVE,168
ALTTURBO GmbH,https://www.linkedin.com/company/altturbo-gmbh,Leiter Operatives Geschäft,2018-08,2021-10,INACTIVE,168
Isodraht Gmbh,,Teamleiter Operations,2018-03,2018-07,INACTIVE,168
Jungheinrich AG,https://www.linkedin.com/company/jungheinrich-ag,Serviceleiter Team,2014-08,2018-02,INACTIVE,168
ABB,https://www.linkedin.com/company/abb,Head of Service Operations /Turbocharging,2001-04,2014-07,INACTIVE,168
MAN Diesel & Turbo,https://www.linkedin.com/company/mandiesel&turbo,Order Processor,1999-07,2001-03,INACTIVE,168
argon lighting GmbH,https://www.linkedin.com/company/argon-lighting-gmbh,Verkaufsleiter,2018-05,,ACTIVE,169
Gripple DE-AT-CH,https://www.linkedin.com/company/gripple-deutschland,Gebietsverantwortlicher Niedersachsen Süd / Ost,2017-03,2018-05,INACTIVE,169
argon lighting GmbH,https://www.linkedin.com/company/argon-lighting-gmbh,Verkaufsleiter,2015-04,2017-02,INACTIVE,169
Berg Kabeltragsysteme GmbH,,Außendienst Vertrieb,2011-08,2015-03,INACTIVE,169
F&L Elektrofachgrosshandlung GmbH,,Vertrieb,2004-01,2011-07,INACTIVE,169
Lufthansa Technik Services India Pvt Ltd,https://www.linkedin.com/company/lufthansa-technik-services-india-pvt-ltd,Chief Executive Officer,2022-01,,ACTIVE,170
Lufthansa Technik,https://www.linkedin.com/company/lufthansa-technik,Head of Fulfillment System and LEAN,2018-01,2021-12,INACTIVE,170
Lufthansa Technik,https://www.linkedin.com/company/lufthansa-technik,Head of Business Development Strategy,2015-10,2017-12,INACTIVE,170
Lufthansa Technik,https://www.linkedin.com/company/lufthansa-technik,Product Management,2013-01,2015-09,INACTIVE,170
P3 Group,https://www.linkedin.com/company/p3,Business Consultant,2012-10,2013-01,INACTIVE,170
Arkwright Consulting,https://www.linkedin.com/company/arkwright,Working Student Management Consulting,2009-09,2012-02,INACTIVE,170
Lufthansa Technik AG,https://www.linkedin.com/company/lufthansa-technik,Internship Cooperation Management,2011-03,2011-08,INACTIVE,170
Bauer Media,https://www.linkedin.com/company/bauer-media-group,Internship Crossmedia Marketing,2011-01,2011-03,INACTIVE,170
RINA North America (formerly Patrick),https://www.linkedin.com/company/rina-north-america,Senior Program Manager,2018-07,,ACTIVE,171
Chicago Transit Authority,https://www.linkedin.com/company/chicago-transit-authority,"Vice President, Capital Construction",2014-01,2018-06,INACTIVE,171
Chicago Transit Authority,https://www.linkedin.com/company/chicago-transit-authority,"General Manager, Capital Construction",2005-11,2013-12,INACTIVE,171
Chicago Transit Authority,https://www.linkedin.com/company/chicago-transit-authority,"Manager, Construction Oversight",1998-01,2005-10,INACTIVE,171
andwin Ltd.,https://www.linkedin.com/company/andwin,Independent Advisor to Founders and Funds,2021,,ACTIVE,172
awesome capital Group,https://www.linkedin.com/company/awesome-capital,"Chairman, CEO & Founding Partner",2018,2021,INACTIVE,172
Earlybird Venture Capital,https://www.linkedin.com/company/earlybird-venture-capital,"Managing Partner, Venture Partner",2017-04,2020-03,INACTIVE,172
Hapimag,https://www.linkedin.com/company/hapimag,"Member of the Board, Vice Chairman",2018,2020,INACTIVE,172
FGS Global,https://www.linkedin.com/company/fgs-global,"Managing Partner, Senior Advisor",2016-01,2019-06,INACTIVE,172
Rocket Internet SE,https://www.linkedin.com/company/rocket-internet-se,"Managing Director & Founder RCKT, SVP Global Communications",2012-07,2015-10,INACTIVE,172
